TimeWindow  Iteration  ResRel(Displacements)  ResRel(Forces)  
    37       8   1.40845613e-05   1.12949247e+01  
    37       9   2.59904923e-05   6.37849972e+00  
    37      10   2.92163766e-06   3.65337863e-01  
    37      11   5.39612131e-06   6.56399300e+00  
    37      12   2.09067159e-07   1.29427045e+00  
    37      13   2.59148397e-07   8.54315546e-01  
    37      14   1.07676864e-06   1.34077414e+00  
    37      15   6.76170943e-07   1.05384566e-01  
    37      16   4.72792826e-08   1.69285108e-01  
    37      17   8.67000412e-08   8.85597121e-02  
    37      18   3.35474195e-09   7.14317470e-02  
    37      19   4.07734020e-09   4.99889962e-03  
    38       1   4.78793295e-02   7.42042866e-01  
    38       2   5.00101512e-04   1.88553715e+01  
    38       3   2.23519195e-04   3.70869656e+01  
    38       4   4.26241344e-04   1.60630158e+00  
    38       5   6.77601650e-05   8.37600698e+00  
    38       6   5.65063084e-05   6.13891611e-01  
    38       7   4.36915871e-05   1.15076663e+01  
    38       8   2.29456976e-05   4.97485577e+00  
    38       9   1.66505492e-05   3.49373714e+00  
    38      10   9.06431185e-06   4.02140782e+00  
    38      11   3.55914854e-06   5.34933229e+00  
    38      12   2.16543398e-06   1.42188736e+00  
    38      13   6.62640984e-07   1.95808942e-01  
    38      14   3.85777238e-07   9.16258190e-02  
    38      15   1.32740948e-07   1.74145500e-01  
    38      16   3.27009140e-08   5.41445313e-03  
    39       1   4.46898549e-02   6.77372485e-01  
    39       2   7.23051448e-05   4.15523456e+00  
    39       3   3.54744000e-04   4.75429113e+00  
    39       4   1.51883934e-04   6.43655558e+00  
    39       5   1.00884117e-04   5.37648283e+00  
    39       6   5.19859860e-06   9.47928688e-01  
    39       7   3.15298049e-06   9.97282806e+00  
    39       8   1.89316832e-06   1.17521855e+00  
    39       9   1.23914519e-06   1.12393005e+00  
    39      10   1.59410133e-06   1.22247724e+00  
    39      11   4.55869853e-07   3.82561529e-01  
    39      12   1.44289486e-07   2.20065614e-01  
    39      13   3.46692709e-08   1.95382304e-02  
    39      14   2.67202144e-08   3.31675369e-02  
    39      15   5.57099294e-09   1.59099788e-03  
    40       1   4.24471553e-02   4.20129556e-01  
    40       2   4.05875261e-04   1.03682806e+01  
    40       3   1.02071162e-04   3.48566636e+01  
    40       4   5.77608524e-04   8.08771174e+00  
    40       5   2.27035248e-04   6.81176186e-01  
    40       6   1.15042203e-04   2.05014209e+01  
    40       7   4.17219117e-05   1.87302932e+00  
    40       8   2.86200000e-05   7.44529341e+00  
    40       9   1.67759731e-05   5.11053610e+00  
    40      10   1.27987306e-05   4.01146039e+00  
    40      11   3.89345520e-06   5.75092863e-01  
    40      12   9.96641171e-07   3.50917895e-01  
    40      13   9.60497621e-07   1.13929985e-01  
    40      14   2.86208524e-07   7.28903292e-02  
    40      15   7.81884532e-08   3.59118673e-02  
    40      16   3.08312798e-08   8.28544304e-04  
    41       1   4.01567677e-02   3.01463481e-01  
    41       2   2.39421436e-04   2.64959725e+00  
    41       3   8.57124726e-05   2.61104557e+00  
    41       4   1.52454659e-04   1.20544278e+01  
    41       5   1.88427593e-05   3.15962371e+00  
    41       6   1.31938422e-05   8.15939210e-01  
    41       7   1.17712705e-05   5.86827009e+00  
    41       8   2.10307991e-06   3.23218850e+00  
    41       9   5.86852421e-07   1.02742385e+00  
    41      10   2.67157778e-07   1.68132291e-01  
    41      11   2.50898838e-07   9.23266937e-02  
    41      12   1.10064388e-07   2.49037480e-01  
    41      13   2.80192677e-07   1.09328948e-01  
    41      14   7.92808209e-08   3.49026786e-02  
    41      15   2.95580281e-08   2.04429945e-02  
    41      16   7.03481206e-09   3.17184365e-03  
    42       1   3.77357196e-02   5.53379662e-01  
    42       2   7.37172433e-04   1.83361517e+01  
    42       3   1.54318497e-04   5.76905179e-01  
    42       4   1.76952865e-04   1.17166960e+01  
    42       5   2.20145736e-05   4.68272554e+00  
    42       6   1.11183517e-05   7.50927242e+00  
    42       7   1.56453469e-05   9.58687019e+00  
    42       8   1.01305927e-05   1.48842171e+01  
    42       9   3.52790369e-06   3.81289218e+00  
    42      10   2.81370520e-06   1.42892546e+00  
    42      11   1.35703567e-06   4.13935110e-01  
    42      12   1.16575048e-06   6.61114189e-01  
    42      13   3.14748092e-07   6.50563591e-01  
    42      14   2.47132447e-07   2.08253909e-01  
    42      15   7.06941404e-08   5.05901817e-02  
    42      16   3.76910749e-08   5.10460943e-02  
    42      17   4.59800515e-09   1.06672872e-02  
    42      18   1.24441423e-09   5.74251211e-03  
    43       1   3.57987277e-02   8.27163396e-01  
    43       2   5.77132721e-04   1.84729709e+01  
    43       3   2.83976495e-04   9.21436842e+00  
    43       4   7.09294309e-05   1.65177431e+00  
    43       5   8.57366597e-05   1.08578934e+01  
    43       6   6.75782441e-05   7.25524759e+00  
    43       7   5.49820104e-05   2.02599680e+01  
    43       8   9.88411226e-06   2.42043313e+01  
    43       9   1.84447259e-06   3.66416102e+01  
    43      10   7.21486397e-06   4.18020000e+00  
    43      11   1.48113383e-06   2.48011283e+00  
    43      12   5.43613560e-07   3.40248200e-01  
    43      13   3.55597630e-07   5.98670325e-01  
    43      14   4.35665407e-07   5.70618064e-01  
    43      15   1.69179164e-08   8.19444536e-02  
    43      16   1.63895039e-08   4.48122339e-02  
    43      17   4.17374613e-08   2.89020974e-02  
    43      18   3.11597478e-09   7.54662980e-03  
    44       1   3.43229829e-02   7.43431403e-01  
    44       2   4.85198334e-04   1.67490364e+01  
    44       3   1.10761454e-04   1.23738218e+00  
    44       4   1.08248309e-04   4.83637953e+00  
    44       5   8.26870779e-06   4.04693705e+00  
    44       6   8.01893134e-05   9.31193947e+00  
    44       7   3.18523307e-06   1.44843536e+00  
    44       8   2.32762968e-06   1.55958616e+00  
    44       9   2.18416671e-06   1.17901561e+00  
    44      10   5.41658650e-07   3.29583761e-01  
    44      11   1.02728265e-07   1.72406541e-01  
    44      12   6.18888255e-08   6.71825311e-02  
    44      13   1.75517816e-08   8.20463168e-03  
    45       1   3.31007130e-02   4.84159780e-01  
    45       2   1.86149859e-04   9.88421250e-01  
    45       3   1.57818545e-04   9.04155775e+00  
    45       4   6.21561448e-05   3.97322737e+00  
    45       5   1.02146488e-05   2.06916328e+00  
    45       6   1.27831893e-05   2.56471569e+00  
    45       7   1.00672862e-05   3.64690425e+00  
    45       8   3.96586493e-06   1.62809056e+00  
    45       9   5.19531215e-07   2.06600577e-01  
    45      10   1.89791913e-07   1.69319414e-01  
    45      11   1.25800916e-07   8.85745898e-02  
    45      12   4.27971574e-08   8.05555822e-03  
    46       1   3.19258815e-02   3.33159605e-01  
    46       2   3.89499050e-05   2.12472962e-01  
    46       3   1.18833581e-04   2.06865746e+01  
    46       4   2.19252400e-04   1.20079621e+01  
    46       5   1.17193482e-05   7.37979497e-01  
    46       6   1.51169149e-05   1.77020081e+01  
    46       7   5.29848890e-06   1.81368587e+00  
    46       8   1.76390511e-06   1.10440892e+00  
    46       9   7.75059858e-07   7.75140796e-01  
    46      10   3.29355486e-07   5.01015994e-01  
    46      11   2.30287024e-07   7.00244547e-01  
    46      12   1.01669886e-07   7.40268734e-01  
    46      13   1.33695875e-07   7.63614475e-01  
    46      14   1.07036748e-07   5.97509685e-01  
    46      15   2.20870909e-07   1.89053490e-01  
    46      16   1.01886298e-07   2.92601028e-02  
    46      17   1.08837856e-08   1.19162657e-02  
    46      18   1.11138553e-08   5.17166015e-03  
    47       1   3.06541983e-02   3.46134606e-01  
    47       2   6.19272343e-05   1.57933341e+00  
    47       3   6.68093798e-05   2.64115246e+01  
    47       4   1.20478149e-05   8.91441944e-01  
    47       5   4.78821641e-06   1.21449733e+01  
    47       6   1.97596753e-06   1.04844791e+01  
    47       7   6.64663548e-07   7.17399284e+00  
    47       8   4.93018988e-07   4.24540010e+00  
    47       9   6.04323944e-07   3.24148519e+00  
    47      10   2.00733175e-07   3.61232203e-01  
    47      11   2.14126083e-07   9.27033359e-01  
    47      12   1.86956608e-07   1.51474679e-01  
    47      13   3.84362328e-08   2.92863743e-02  
    47      14   1.58089262e-08   2.81446720e-02  
    47      15   2.79030073e-09   1.28609220e-02  
    47      16   3.15800863e-09   6.36576351e-03  
    48       1   2.94789379e-02   4.89596470e-01  
    48       2   6.94096525e-05   6.29909238e-01  
    48       3   1.79235443e-04   1.63371545e+01  
    48       4   4.84089900e-05   2.43700890e+00  
    48       5   2.90915051e-05   1.07410506e+00  
    48       6   1.43693630e-05   3.61111724e+00  
    48       7   8.12838637e-06   1.66545243e+00  
    48       8   7.75123927e-06   2.02319050e+00  
    48       9   2.85111772e-06   1.89134858e+00  
    48      10   6.34042503e-07   8.74310694e-01  
    48      11   7.19025277e-08   1.90465331e-01  
    48      12   4.06057111e-08   5.36849892e-02  
    48      13   7.31630146e-08   4.45490907e-02  
    48      14   1.06337126e-08   3.39654921e-02  
    48      15   4.03986132e-09   1.16764649e-02  
    48      16   2.21571167e-09   4.81375480e-03  
    49       1   2.86304015e-02   6.20027694e-01  
    49       2   1.38108076e-04   2.75668871e+00  
    49       3   6.12081351e-05   3.11857543e+00  
    49       4   4.10288633e-05   9.73487430e+00  
    49       5   1.22539479e-05   5.82552037e+00  
    49       6   4.12191946e-06   4.34483442e+00  
    49       7   4.20781782e-06   3.73429308e+00  
    49       8   1.97411795e-06   2.11092339e+00  
    49       9   1.11417386e-06   8.13635648e-01  
    49      10   4.22771355e-07   5.70574268e-01  
    49      11   1.33096272e-07   3.10879804e-02  
    49      12   2.10369726e-08   2.80572934e-02  
    49      13   1.05784165e-08   1.12914028e-02  
    49      14   3.54953995e-09   3.70730174e-03  
    50       1   2.82618352e-02   4.87023755e-01  
    50       2   6.07867557e-05   4.07588550e+00  
    50       3   1.28368627e-04   2.18188898e+01  
    50       4   4.57648427e-05   5.74015926e+00  
    50       5   6.08357621e-06   4.10469714e+00  
    50       6   4.66353667e-06   1.38514049e+00  
    50       7   7.05519904e-06   4.02032959e+00  
    50       8   1.34199565e-06   1.97769763e+00  
    50       9   8.15201639e-07   4.10695516e-01  
    50      10   6.76276220e-08   5.36605626e-02  
    50      11   1.51838247e-07   3.01212203e-02  
    50      12   5.50893164e-08   7.91617571e-02  
    50      13   1.53927618e-08   5.61476310e-03  
