TimeWindow  Iteration  ResRel(Displacements)  ResRel(Forces)  
     9      12   9.79257063e-07   4.26072646e-01  
     9      13   1.75213776e-06   4.15854688e-01  
     9      14   3.50803521e-07   2.46937695e-01  
     9      15   1.19108212e-06   1.20864571e-01  
     9      16   1.84077946e-07   2.99445477e-01  
     9      17   2.95364479e-07   6.90597952e-02  
     9      18   2.27952459e-07   4.30162934e-02  
     9      19   9.91980248e-08   2.15270226e-02  
     9      20   5.02547356e-09   1.66731568e-03  
    10       1   1.24584713e-01   1.63119828e-01  
    10       2   3.57212412e-05   5.46860190e-01  
    10       3   2.86937695e-04   1.03498714e+01  
    10       4   2.07586571e-04   2.07186133e+01  
    10       5   3.67268891e-05   9.96459311e+00  
    10       6   5.69277702e-06   3.74014842e+00  
    10       7   8.27819571e-06   3.36936712e+00  
    10       8   4.49024896e-05   1.37117738e+00  
    10       9   1.69290562e-05   1.72416989e-01  
    10      10   2.62913656e-05   4.61461792e+00  
    10      11   5.85541604e-06   5.71656829e-01  
    10      12   1.16994352e-05   5.42756030e-01  
    10      13   6.76424629e-06   2.04661974e-01  
    10      14   7.59704734e-07   6.34697106e-03  
    11       1   1.05134124e-01   2.11156290e-01  
    11       2   2.32265671e-04   3.34962770e-01  
    11       3   2.41710954e-04   1.66794174e+01  
    11       4   1.49448186e-04   4.22226492e+00  
    11       5   1.45106219e-05   1.10097272e+01  
    11       6   1.11106392e-05   1.26605932e+01  
    11       7   2.89686212e-05   5.07310753e-01  
    11       8   1.40560209e-05   9.33539036e-01  
    11       9   1.48308100e-05   8.15218337e-01  
    11      10   5.65775024e-07   1.11369450e+00  
    11      11   1.58717066e-06   1.67549894e-01  
    11      12   5.31507604e-07   2.33612007e-01  
    11      13   2.55997183e-07   1.76993888e-01  
    11      14   1.52274473e-07   1.41509991e-01  
    11      15   4.10395833e-08   4.97442269e-02  
    11      16   9.20496168e-08   4.78850624e-03  
    12       1   9.05943836e-02   1.26571605e-01  
    12       2   1.73070840e-04   4.75774691e+00  
    12       3   1.69947488e-04   6.37280800e+01  
    12       4   1.51528434e-04   1.42143963e+00  
    12       5   1.40557180e-04   2.10671358e+01  
    12       6   4.40440991e-05   3.64829738e+00  
    12       7   4.90545222e-05   2.06944977e+00  
    12       8   9.13470110e-06   2.83794148e+00  
    12       9   1.78883719e-05   3.61681264e+00  
    12      10   2.00539248e-06   2.42818508e+00  
    12      11   1.49115999e-06   3.09882786e+00  
    12      12   1.77197538e-06   3.05840015e+00  
    12      13   1.57576983e-06   3.44192710e+00  
    12      14   9.93800358e-07   6.71094555e-01  
    12      15   5.34016118e-06   1.48060297e+00  
    12      16   1.90699305e-05   1.32551803e-01  
    12      17   4.09817311e-06   1.92791815e-01  
    12      18   3.31880747e-06   2.15595399e-02  
    12      19   1.04777779e-07   4.23879809e-02  
    12      20   1.68985044e-07   3.26247927e-02  
    12      21   7.07146121e-08   2.33154878e-02  
    12      22   1.14026545e-07   4.24439262e-03  
    13       1   8.56973945e-02   1.35549936e-01  
    13       2   8.22934796e-04   1.99027823e+00  
    13       3   1.26485884e-03   3.61397400e+01  
    13       4   2.01425221e-04   2.66807405e+00  
    13       5   1.98143420e-04   4.42546605e+00  
    13       6   1.33850115e-04   1.38920187e+01  
    13       7   1.82837483e-05   8.51310405e+00  
    13       8   1.19737502e-05   1.74238447e+00  
    13       9   1.99447758e-06   9.14258842e-01  
    13      10   3.95404923e-07   6.46186908e-01  
    13      11   1.75599581e-07   4.83496041e-01  
    13      12   3.31865983e-07   2.64403519e-01  
    13      13   2.87220142e-07   6.51583253e-02  
    13      14   8.87124773e-08   3.17356307e-02  
    13      15   4.15728256e-08   9.36443235e-03  
    14       1   8.61888897e-02   1.14975892e-01  
    14       2   1.46738921e-03   3.88915978e-01  
    14       3   3.99935600e-04   8.01455077e+00  
    14       4   3.41587549e-04   2.32857113e+01  
    14       5   2.28608118e-04   5.87509645e+00  
    14       6   6.62788382e-05   5.28287637e-01  
    14       7   1.54148313e-05   7.23160327e-01  
    14       8   1.88593494e-05   5.69233864e+00  
    14       9   2.76464423e-05   6.08568247e+00  
    14      10   1.80917610e-05   2.17603872e+00  
    14      11   4.86204059e-06   4.64134018e-01  
    14      12   4.98119114e-06   2.53688910e-01  
    14      13   2.39113930e-06   3.47554473e-01  
    14      14   1.94949876e-06   2.77519878e-01  
    14      15   1.01122792e-07   2.58694388e-01  
    14      16   1.20008834e-07   2.39902060e-01  
    14      17   6.56678842e-07   1.20690998e-01  
    14      18   5.57246624e-07   6.98297565e-03  
    15       1   8.71816348e-02   1.36672428e-01  
    15       2   6.94447523e-04   4.53291939e+00  
    15       3   6.37959648e-04   2.13322696e+02  
    15       4   1.48295022e-03   3.63362873e+00  
    15       5   6.49151053e-04   3.65172540e+00  
    15       6   1.56219101e-04   1.93283236e+01  
    15       7   8.50404610e-05   2.39283055e+01  
    15       8   1.09817591e-04   8.44931678e+00  
    15       9   2.82386104e-05   8.55032549e+00  
    15      10   7.75679438e-05   5.72423846e+00  
    15      11   1.13582547e-05   8.74673088e+00  
    15      12   2.64053190e-05   4.90778003e+00  
    15      13   3.10122444e-05   6.05925053e-01  
    15      14   1.45348497e-05   6.78908055e-02  
    15      15   1.75002192e-06   2.33579041e-01  
    15      16   1.67947288e-06   1.82029384e-01  
    15      17   1.03845032e-06   7.17994884e-02  
    15      18   8.58512936e-08   5.85866592e-04  
    16       1   8.55543629e-02   5.09188718e-02  
    16       2   1.41786797e-04   2.69532417e-01  
    16       3   3.49416687e-04   1.02644696e+01  
    16       4   8.81731125e-05   7.34265853e-01  
